最终原始关卡,最终原始关卡标签,人数
106.0,1-06,11
204.0,2-04,10
110.0,1-10,8
112.0,1-12,8
115.0,1-15,7
113.0,1-13,6
103.0,1-03,6
107.0,1-07,5
102.0,1-02,4
109.0,1-09,4
205.0,2-05,3
114.0,1-14,3
111.0,1-11,3
209.0,2-09,3
108.0,1-08,3
314.0,3-14,3
309.0,3-09,2
304.0,3-04,2
514.0,5-14,2
214.0,2-14,2
704.0,7-04,2
215.0,2-15,2
208.0,2-08,2
206.0,2-06,2
104.0,1-04,2
201.0,2-01,2
606.0,6-06,1
511.0,5-11,1
603.0,6-03,1
1005.0,10-05,1
604.0,6-04,1
901.0,9-01,1
712.0,7-12,1
607.0,6-07,1
611.0,6-11,1
802.0,8-02,1
507.0,5-07,1
707.0,7-07,1
509.0,5-09,1
101.0,1-01,1
506.0,5-06,1
406.0,4-06,1
401.0,4-01,1
315.0,3-15,1
307.0,3-07,1
305.0,3-05,1
302.0,3-02,1
301.0,3-01,1
213.0,2-13,1
211.0,2-11,1
210.0,2-10,1
203.0,2-03,1
202.0,2-02,1
105.0,1-05,1
1009.0,10-09,1
