最长停留原始关卡,出现为最长停留人数,平均连续停留天数,最大连续停留天数,关卡标签
106,16,1.375,2,1-06
204,11,3.0,4,2-04
112,8,1.5,2,1-12
102,6,1.3333333333333333,3,1-02
110,6,1.3333333333333333,2,1-10
107,6,1.0,1,1-07
115,5,4.6,13,1-15
209,5,2.6,3,2-09
111,5,1.8,4,1-11
113,5,1.8,2,1-13
108,5,1.2,2,1-08
103,5,1.0,1,1-03
207,4,2.75,4,2-07
114,4,2.0,3,1-14
104,4,1.0,1,1-04
105,4,1.0,1,1-05
304,3,4.333333333333333,5,3-04
514,3,4.0,6,5-14
314,3,3.6666666666666665,6,3-14
109,3,1.0,1,1-09
215,2,6.5,8,2-15
607,2,5.0,6,6-07
205,2,2.0,2,2-05
511,1,6.0,6,5-11
309,1,5.0,5,3-09
1005,1,5.0,5,10-05
501,1,4.0,4,5-01
509,1,4.0,4,5-09
707,1,4.0,4,7-07
210,1,3.0,3,2-10
405,1,3.0,3,4-05
414,1,3.0,3,4-14
506,1,3.0,3,5-06
710,1,3.0,3,7-10
203,1,2.0,2,2-03
211,1,2.0,2,2-11
302,1,2.0,2,3-02
415,1,2.0,2,4-15
507,1,2.0,2,5-07
512,1,2.0,2,5-12
712,1,2.0,2,7-12
101,1,1.0,1,1-01
